cfg_id,ED_PATH,HEL_WORK,BONUS_PCT,DON_STYLE,MOM_GIFT_USE,FX_SCENARIO,RISK_BAND,prob_shortfall_year1,prob_shortfall_year5,prob_shortfall_10yr,cashflow_volatility_10yr,var_95_year1,var_95_10yr_avg,min_cushion_p10,min_cushion_median,prob_insolvency_10yr,expected_shortfall
CFG_JK,McGill,Full‑time,0.3,1,1,Base,1,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JL,McGill,Full‑time,0.3,1,1,Base,2,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JM,McGill,Full‑time,0.3,1,1,Base,3,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JN,McGill,Full‑time,0.3,1,1,Stress,1,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JO,McGill,Full‑time,0.3,1,1,Stress,2,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JP,McGill,Full‑time,0.3,1,1,Stress,3,0.0,0.0,0.0,0.2415441678652349,88680.78249089733,107370.20769481179,-118700.5811835365,-72390.96014742512,0.0,-132636.72863413877
CFG_JQ,McGill,Full‑time,0.3,2,0,Base,1,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_JR,McGill,Full‑time,0.3,2,0,Base,2,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_JS,McGill,Full‑time,0.3,2,0,Base,3,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_JT,McGill,Full‑time,0.3,2,0,Stress,1,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_JU,McGill,Full‑time,0.3,2,0,Stress,2,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_JV,McGill,Full‑time,0.3,2,0,Stress,3,1.0,0.0,0.1,0.2681563375003496,-161319.21750910266,82370.2076948118,-141348.88175831136,-79043.15442260106,0.0,-161319.21750910266
CFG_KC,JohnsHopkins,Part‑time,0.0,0,0,Base,1,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KD,JohnsHopkins,Part‑time,0.0,0,0,Base,2,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KE,JohnsHopkins,Part‑time,0.0,0,0,Base,3,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KF,JohnsHopkins,Part‑time,0.0,0,0,Stress,1,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KG,JohnsHopkins,Part‑time,0.0,0,0,Stress,2,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KH,JohnsHopkins,Part‑time,0.0,0,0,Stress,3,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KI,JohnsHopkins,Part‑time,0.0,0,1,Base,1,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KJ,JohnsHopkins,Part‑time,0.0,0,1,Base,2,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KK,JohnsHopkins,Part‑time,0.0,0,1,Base,3,0.07,0.0,0.523,0.4606108664439364,-4994.616319365251,-76580.94480239492,-164660.97570906507,-136860.9114194429,1.0,-98269.15198779356
CFG_KL,JohnsHopkins,Part‑time,0.0,0,1,Stress,1,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KM,JohnsHopkins,Part‑time,0.0,0,1,Stress,2,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KN,JohnsHopkins,Part‑time,0.0,0,1,Stress,3,0.07,0.0,0.523,0.4532957054258538,-4994.616319365251,-79557.42842344558,-170153.7358637287,-142413.26837690067,1.0,-101989.7565141069
CFG_KO,JohnsHopkins,Part‑time,0.0,1,0,Base,1,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KP,JohnsHopkins,Part‑time,0.0,1,0,Base,2,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KQ,JohnsHopkins,Part‑time,0.0,1,0,Base,3,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KR,JohnsHopkins,Part‑time,0.0,1,0,Stress,1,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_KS,JohnsHopkins,Part‑time,0.0,1,0,Stress,2,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_KT,JohnsHopkins,Part‑time,0.0,1,0,Stress,3,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_KU,JohnsHopkins,Part‑time,0.0,1,1,Base,1,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KV,JohnsHopkins,Part‑time,0.0,1,1,Base,2,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KW,JohnsHopkins,Part‑time,0.0,1,1,Base,3,0.0,0.0,0.49799999999999994,0.41186012290786805,20005.38368063475,-51580.944802394915,-219134.8113364827,-188247.02793755347,0.53,-147058.4177203885
CFG_KX,JohnsHopkins,Part‑time,0.0,1,1,Stress,1,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_KY,JohnsHopkins,Part‑time,0.0,1,1,Stress,2,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_KZ,JohnsHopkins,Part‑time,0.0,1,1,Stress,3,0.0,0.0,0.49799999999999994,0.3984871964282096,20005.38368063475,-54557.42842344559,-219134.8113364827,-188247.02793755347,0.66,-152019.22375547295
CFG_LA,JohnsHopkins,Part‑time,0.0,2,0,Base,1,1.0,0.0,0.598,0.3892131450281672,-229994.61631936525,-76580.94480239492,-215667.98774956987,-174764.37487138069,1.0,-147150.93479713265
CFG_LB,JohnsHopkins,Part‑time,0.0,2,0,Base,2,1.0,0.0,0.598,0.3892131450281672,-229994.61631936525,-76580.94480239492,-215667.98774956987,-174764.37487138069,1.0,-147150.93479713265
CFG_LC,JohnsHopkins,Part‑time,0.0,2,0,Base,3,1.0,0.0,0.598,0.3892131450281672,-229994.61631936525,-76580.94480239492,-215667.98774956987,-174764.37487138069,1.0,-147150.93479713265
CFG_LD,JohnsHopkins,Part‑time,0.0,2,0,Stress,1,1.0,0.0,0.598,0.37584021854850874,-229994.61631936525,-79557.42842344558,-215667.98774956987,-174764.37487138069,1.0,-152111.7408322171
CFG_LE,JohnsHopkins,Part‑time,0.0,2,0,Stress,2,1.0,0.0,0.598,0.37584021854850874,-229994.61631936525,-79557.42842344558,-215667.98774956987,-174764.37487138069,1.0,-152111.7408322171
CFG_LF,JohnsHopkins,Part‑time,0.0,2,0,Stress,3,1.0,0.0,0.598,0.37584021854850874,-229994.61631936525,-79557.42842344558,-215667.98774956987,-174764.37487138069,1.0,-152111.7408322171
CFG_LM,JohnsHopkins,Part‑time,0.1,0,0,Base,1,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LN,JohnsHopkins,Part‑time,0.1,0,0,Base,2,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LO,JohnsHopkins,Part‑time,0.1,0,0,Base,3,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LP,JohnsHopkins,Part‑time,0.1,0,0,Stress,1,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LQ,JohnsHopkins,Part‑time,0.1,0,0,Stress,2,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LR,JohnsHopkins,Part‑time,0.1,0,0,Stress,3,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LS,JohnsHopkins,Part‑time,0.1,0,1,Base,1,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LT,JohnsHopkins,Part‑time,0.1,0,1,Base,2,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LU,JohnsHopkins,Part‑time,0.1,0,1,Base,3,0.0,0.0,0.5039999999999999,0.44118909220013747,6326.76309245463,-64424.439140664625,-154047.08603258993,-124727.98623245387,0.87,-143279.10730194036
CFG_LV,JohnsHopkins,Part‑time,0.1,0,1,Stress,1,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LW,JohnsHopkins,Part‑time,0.1,0,1,Stress,2,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LX,JohnsHopkins,Part‑time,0.1,0,1,Stress,3,0.0,0.0,0.506,0.43033450267316764,6326.76309245463,-67479.83647909571,-159462.8080188982,-130115.05594446532,0.89,-149389.90197880255
CFG_LY,JohnsHopkins,Part‑time,0.1,1,0,Base,1,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_LZ,JohnsHopkins,Part‑time,0.1,1,0,Base,2,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_MA,JohnsHopkins,Part‑time,0.1,1,0,Base,3,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_MB,JohnsHopkins,Part‑time,0.1,1,0,Stress,1,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_MC,JohnsHopkins,Part‑time,0.1,1,0,Stress,2,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_MD,JohnsHopkins,Part‑time,0.1,1,0,Stress,3,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_ME,JohnsHopkins,Part‑time,0.1,1,1,Base,1,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_MF,JohnsHopkins,Part‑time,0.1,1,1,Base,2,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_MG,JohnsHopkins,Part‑time,0.1,1,1,Base,3,0.0,0.0,0.48599999999999993,0.4556314893622229,31326.76309245463,-39424.43914066463,-206527.29460088632,-173562.53156914574,0.09,-134775.5819708696
CFG_MH,JohnsHopkins,Part‑time,0.1,1,1,Stress,1,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_MI,JohnsHopkins,Part‑time,0.1,1,1,Stress,2,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_MJ,JohnsHopkins,Part‑time,0.1,1,1,Stress,3,0.0,0.0,0.49000000000000005,0.4334899542687224,31326.76309245463,-42479.83647909573,-206527.29460088632,-174232.30019492918,0.14,-139867.91086825478
CFG_MK,JohnsHopkins,Part‑time,0.1,2,0,Base,1,1.0,0.0,0.586,0.43995818773386447,-218673.23690754536,-64424.439140664625,-203424.5228598235,-160117.8229807149,0.87,-135011.46223620785
CFG_ML,JohnsHopkins,Part‑time,0.1,2,0,Base,2,1.0,0.0,0.586,0.43995818773386447,-218673.23690754536,-64424.439140664625,-203424.5228598235,-160117.8229807149,0.87,-135011.46223620785
CFG_MM,JohnsHopkins,Part‑time,0.1,2,0,Base,3,1.0,0.0,0.586,0.43995818773386447,-218673.23690754536,-64424.439140664625,-203424.5228598235,-160117.8229807149,0.87,-135011.46223620785
CFG_MN,JohnsHopkins,Part‑time,0.1,2,0,Stress,1,1.0,0.0,0.5900000000000001,0.417816652640364,-218673.23690754536,-67479.83647909571,-203424.5228598235,-160117.8229807149,0.89,-140103.791133593
CFG_MO,JohnsHopkins,Part‑time,0.1,2,0,Stress,2,1.0,0.0,0.5900000000000001,0.417816652640364,-218673.23690754536,-67479.83647909571,-203424.5228598235,-160117.8229807149,0.89,-140103.791133593
CFG_MP,JohnsHopkins,Part‑time,0.1,2,0,Stress,3,1.0,0.0,0.5900000000000001,0.417816652640364,-218673.23690754536,-67479.83647909571,-203424.5228598235,-160117.8229807149,0.89,-140103.791133593
CFG_MW,JohnsHopkins,Part‑time,0.2,0,0,Base,1,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
CFG_MX,JohnsHopkins,Part‑time,0.2,0,0,Base,2,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
CFG_MY,JohnsHopkins,Part‑time,0.2,0,0,Base,3,0.0,0.0,0.495,0.4596098994048579,17815.603005366058,-52137.83733589066,-143397.46180225565,-112164.06593194007,0.4,-130750.10378901148
